name,catalog_id,class,type,ra,dec,mag,size_arcmin,common_names
IC 2522,IC2522,galaxy,Galaxy,09:55:08,-33:08:13,12.0,2.30,
M 81,NGC3031,galaxy,Galaxy,09:55:33,+69:03:55,6.9,21.63,Bode's Galaxy
NGC 3027,NGC3027,galaxy,Galaxy,09:55:40,+72:12:12,11.8,3.35,
M 82,NGC3034,galaxy,Galaxy,09:55:52,+69:40:45,8.3,10.99,Cigar Galaxy
NGC 3078,NGC3078,galaxy,Galaxy,09:58:24,-26:55:36,11.2,3.04,
NGC 3087,NGC3087,galaxy,Galaxy,09:59:08,-34:13:30,11.4,2.28,
NGC 3095,NGC3095,galaxy,Galaxy,10:00:05,-31:33:10,11.6,3.61,
NGC 3091,NGC3091,galaxy,Galaxy,10:00:14,-19:38:13,11.0,3.69,
IC 2533,IC2533,galaxy,Galaxy,10:00:31,-31:14:42,12.0,2.04,
NGC 3100,NGC3100,galaxy,Galaxy,10:00:40,-31:39:52,11.4,3.56,
NGC 3079,NGC3079,galaxy,Galaxy,10:01:57,+55:40:47,10.7,8.18,
NGC 3098,NGC3098,galaxy,Galaxy,10:02:16,+24:42:39,12.0,2.33,
NGC 3108,NGC3108,galaxy,Galaxy,10:02:29,-31:40:38,11.5,2.54,
NGC 3109,NGC3109,galaxy,Galaxy,10:03:06,-26:09:34,10.5,16.00,
NGC 3077,NGC3077,galaxy,Galaxy,10:03:19,+68:44:02,9.9,5.21,
NGC 3115,NGC3115,galaxy,Galaxy,10:05:13,-07:43:06,9.1,7.10,Spindle Galaxy
NGC 3137,NGC3137,galaxy,Galaxy,10:09:07,-29:03:51,11.6,5.57,
NGC 3145,NGC3145,galaxy,Galaxy,10:10:09,-12:26:01,12.0,2.87,
NGC 3162,NGC3162,galaxy,Galaxy,10:13:31,+22:44:15,11.7,2.09,
NGC 3166,NGC3166,galaxy,Galaxy,10:13:45,+03:25:29,10.6,4.50,
NGC 3158,NGC3158,galaxy,Galaxy,10:13:50,+38:45:53,11.9,2.32,
NGC 3169,NGC3169,galaxy,Galaxy,10:14:15,+03:27:57,10.9,4.34,
NGC 3175,NGC3175,galaxy,Galaxy,10:14:42,-28:52:19,11.3,5.25,
NGC 3147,NGC3147,galaxy,Galaxy,10:16:53,+73:24:02,11.9,4.11,
NGC 3189,NGC3189,galaxy,Galaxy,10:18:05,+21:49:56,11.1,3.64,
NGC 3184,NGC3184,galaxy,Galaxy,10:18:16,+41:25:26,9.8,7.40,
NGC 3193,NGC3193,galaxy,Galaxy,10:18:24,+21:53:38,11.0,2.36,
NGC 3198,NGC3198,galaxy,Galaxy,10:19:54,+45:32:58,10.4,6.46,
NGC 3223,NGC3223,galaxy,Galaxy,10:21:35,-34:16:00,11.0,4.28,
NGC 3227,NGC3227,galaxy,Galaxy,10:23:30,+19:51:54,11.7,3.98,
NGC 3242,NGC3242,nebula,Planetary Nebula,10:24:46,-18:38:32,7.7,0.42,Jupiter's Ghost Nebula
NGC 3239,NGC3239,galaxy,Galaxy,10:25:04,+17:09:48,11.4,3.61,
NGC 3245,NGC3245,galaxy,Galaxy,10:27:18,+28:30:26,10.8,3.61,
IC 2574,IC2574,galaxy,Galaxy,10:28:23,+68:24:43,10.5,12.91,Coddington's Nebula
NGC 3254,NGC3254,galaxy,Galaxy,10:29:19,+29:29:30,11.7,2.34,
NGC 3281,NGC3281,galaxy,Galaxy,10:31:52,-34:51:13,11.9,3.10,
NGC 3277,NGC3277,galaxy,Galaxy,10:32:55,+28:30:42,11.7,2.11,
NGC 3285,NGC3285,galaxy,Galaxy,10:33:35,-27:27:16,12.0,2.97,
NGC 3294,NGC3294,galaxy,Galaxy,10:36:16,+37:19:28,11.7,3.08,
NGC 3309,NGC3309,galaxy,Galaxy,10:36:35,-27:31:06,11.7,1.82,
NGC 3311,NGC3311,galaxy,Galaxy,10:36:42,-27:31:42,11.3,2.63,
NGC 3301,NGC3301,galaxy,Galaxy,10:36:56,+21:52:55,11.4,3.63,
NGC 3313,NGC3313,galaxy,Galaxy,10:37:25,-25:19:10,11.7,2.96,
IC 2597,IC2597,galaxy,Galaxy,10:37:47,-27:04:54,11.7,2.62,
NGC 3310,NGC3310,galaxy,Galaxy,10:38:45,+53:30:12,11.6,1.80,
NGC 3319,NGC3319,galaxy,Galaxy,10:39:09,+41:41:12,11.4,3.63,
NGC 3338,NGC3338,galaxy,Galaxy,10:42:07,+13:44:49,10.9,1.23,
NGC 3344,NGC3344,galaxy,Galaxy,10:43:31,+24:55:20,10.0,6.70,
M 95,NGC3351,galaxy,Galaxy,10:43:57,+11:42:13,9.8,7.23,
NGC 3367,NGC3367,galaxy,Galaxy,10:46:34,+13:45:03,11.7,2.88,
NGC 3359,NGC3359,galaxy,Galaxy,10:46:36,+63:13:27,10.6,4.07,
M 96,NGC3368,galaxy,Galaxy,10:46:45,+11:49:11,9.2,8.26,
NGC 3348,NGC3348,galaxy,Galaxy,10:47:10,+72:50:22,10.9,2.13,
NGC 3377,NGC3377,galaxy,Galaxy,10:47:42,+13:59:09,10.3,3.87,
M 105,NGC3379,galaxy,Galaxy,10:47:49,+12:34:53,9.3,4.89,
NGC 3450,NGC3450,galaxy,Galaxy,10:48:03,-20:50:57,11.8,2.61,
NGC 3384,NGC3384,galaxy,Galaxy,10:48:16,+12:37:45,10.0,5.24,
NGC 3402,NGC3402,galaxy,Galaxy,10:50:26,-12:50:40,11.9,1.85,
NGC 3412,NGC3412,galaxy,Galaxy,10:50:53,+13:24:43,10.5,3.96,
NGC 3423,NGC3423,galaxy,Galaxy,10:51:14,+05:50:24,11.2,3.56,
NGC 3414,NGC3414,galaxy,Galaxy,10:51:16,+27:58:30,11.1,2.67,
NGC 3430,NGC3430,galaxy,Galaxy,10:52:11,+32:57:01,11.8,3.99,
NGC 3432,NGC3432,galaxy,Galaxy,10:52:31,+36:37:07,11.3,7.41,
NGC 3448,NGC3448,galaxy,Galaxy,10:54:39,+54:18:17,12.0,2.97,
NGC 3489,NGC3489,galaxy,Galaxy,11:00:18,+13:54:04,10.2,3.44,
NGC 3486,NGC3486,galaxy,Galaxy,11:00:23,+28:58:30,10.6,5.82,
NGC 3511,NGC3511,galaxy,Galaxy,11:03:23,-23:05:12,11.0,6.04,
NGC 3513,NGC3513,galaxy,Galaxy,11:03:46,-23:14:43,11.7,2.81,
NGC 3521,NGC3521,galaxy,Galaxy,11:05:48,-00:02:09,9.1,8.32,
IC 2627,IC2627,galaxy,Galaxy,11:09:53,-23:43:33,12.0,2.40,
M 108,NGC3556,galaxy,Galaxy,11:11:30,+55:40:26,10.1,3.98,
NGC 3585,NGC3585,galaxy,Galaxy,11:13:17,-26:45:17,9.7,6.61,
NGC 3593,NGC3593,galaxy,Galaxy,11:14:37,+12:49:03,10.9,4.69,
M 97,NGC3587,nebula,Planetary Nebula,11:14:47,+55:01:08,9.9,3.58,Owl Nebula
NGC 3596,NGC3596,galaxy,Galaxy,11:15:06,+14:47:13,11.5,3.55,
NGC 3607,NGC3607,galaxy,Galaxy,11:16:54,+18:03:06,10.0,4.59,
NGC 3608,NGC3608,galaxy,Galaxy,11:16:58,+18:08:55,10.6,3.18,
NGC 3621,NGC3621,galaxy,Galaxy,11:18:16,-32:48:50,9.6,9.79,
NGC 3610,NGC3610,galaxy,Galaxy,11:18:25,+58:47:10,10.8,2.39,
NGC 3613,NGC3613,galaxy,Galaxy,11:18:36,+58:00:00,10.8,3.55,
M 65,NGC3623,galaxy,Galaxy,11:18:55,+13:05:32,9.3,7.64,
NGC 3626,NGC3626,galaxy,Galaxy,11:20:03,+18:21:24,11.0,2.94,
M 66,NGC3627,galaxy,Galaxy,11:20:14,+12:59:29,8.9,10.28,
NGC 3628,NGC3628,galaxy,Galaxy,11:20:16,+13:35:22,9.4,11.04,
NGC 3631,NGC3631,galaxy,Galaxy,11:21:02,+53:10:10,10.4,3.72,
NGC 3640,NGC3640,galaxy,Galaxy,11:21:06,+03:14:05,10.4,4.33,
NGC 3646,NGC3646,galaxy,Galaxy,11:21:43,+20:10:10,11.2,3.09,
NGC 3655,NGC3655,galaxy,Galaxy,11:22:54,+16:35:24,11.7,1.45,
NGC 3665,NGC3665,galaxy,Galaxy,11:24:43,+38:45:46,10.8,4.06,
NGC 3672,NGC3672,galaxy,Galaxy,11:25:02,-09:47:43,11.3,2.90,
NGC 3673,NGC3673,galaxy,Galaxy,11:25:12,-26:44:12,11.6,3.48,
NGC 3675,NGC3675,galaxy,Galaxy,11:26:08,+43:35:09,10.1,5.90,
NGC 3681,NGC3681,galaxy,Galaxy,11:26:29,+16:51:47,11.9,1.74,
NGC 3684,NGC3684,galaxy,Galaxy,11:27:11,+17:01:48,11.8,2.29,
NGC 3686,NGC3686,galaxy,Galaxy,11:27:43,+17:13:27,11.4,2.88,
NGC 3690B,NGC3690B,galaxy,Galaxy,11:28:33,+58:33:46,11.7,2.40,
NGC 3705,NGC3705,galaxy,Galaxy,11:30:07,+09:16:35,11.0,4.31,
NGC 3717,NGC3717,galaxy,Galaxy,11:31:31,-30:18:27,11.2,6.52,
NGC 3718,NGC3718,galaxy,Galaxy,11:32:34,+53:04:04,10.7,4.70,
NGC 3726,NGC3726,galaxy,Galaxy,11:33:21,+47:01:45,10.5,5.27,
NGC 3729,NGC3729,galaxy,Galaxy,11:33:49,+53:07:32,11.6,2.89,
NGC 3738,NGC3738,galaxy,Galaxy,11:35:48,+54:31:26,11.4,2.26,
NGC 3756,NGC3756,galaxy,Galaxy,11:36:48,+54:17:36,11.5,1.91,
NGC 3810,NGC3810,galaxy,Galaxy,11:40:58,+11:28:16,10.8,3.35,
NGC 3813,NGC3813,galaxy,Galaxy,11:41:18,+36:32:48,11.7,2.12,
NGC 3818,NGC3818,galaxy,Galaxy,11:41:57,-06:09:20,11.8,2.44,
NGC 3842,NGC3842,galaxy,Galaxy,11:44:02,+19:56:59,11.8,2.14,
NGC 3872,NGC3872,galaxy,Galaxy,11:45:49,+13:46:00,11.7,2.39,
NGC 3877,NGC3877,galaxy,Galaxy,11:46:07,+47:29:39,11.0,5.36,
NGC 3885,NGC3885,galaxy,Galaxy,11:46:46,-27:55:19,11.9,2.74,
NGC 3887,NGC3887,galaxy,Galaxy,11:47:04,-16:51:16,10.9,3.27,
NGC 3892,NGC3892,galaxy,Galaxy,11:48:00,-10:57:43,11.2,3.08,
NGC 3893,NGC3893,galaxy,Galaxy,11:48:38,+48:42:39,10.6,2.69,
NGC 3894,NGC3894,galaxy,Galaxy,11:48:50,+59:24:56,11.6,2.66,
NGC 3900,NGC3900,galaxy,Galaxy,11:49:09,+27:01:19,11.4,2.55,
NGC 3904,NGC3904,galaxy,Galaxy,11:49:13,-29:16:36,10.8,3.47,
NGC 3898,NGC3898,galaxy,Galaxy,11:49:15,+56:05:03,10.7,3.47,
NGC 3917,NGC3917,galaxy,Galaxy,11:50:45,+51:49:28,11.8,4.61,
NGC 3923,NGC3923,galaxy,Galaxy,11:51:01,-28:48:21,9.6,6.89,
NGC 3938,NGC3938,galaxy,Galaxy,11:52:49,+44:07:14,10.4,3.55,
NGC 3941,NGC3941,galaxy,Galaxy,11:52:55,+36:59:10,10.4,3.51,
NGC 3945,NGC3945,galaxy,Galaxy,11:53:13,+60:40:32,10.8,5.55,
NGC 3949,NGC3949,galaxy,Galaxy,11:53:41,+47:51:31,10.9,2.26,
NGC 3953,NGC3953,galaxy,Galaxy,11:53:48,+52:19:36,10.1,6.14,
NGC 3955,NGC3955,galaxy,Galaxy,11:53:57,-23:09:51,11.8,4.15,
NGC 3962,NGC3962,galaxy,Galaxy,11:54:40,-13:58:30,10.7,4.17,
NGC 3981,NGC3981,galaxy,Galaxy,11:56:07,-19:53:46,11.7,3.32,
NGC 3982,NGC3982,galaxy,Galaxy,11:56:28,+55:07:30,11.7,2.13,
M 109,NGC3992,galaxy,Galaxy,11:57:35,+53:22:28,9.9,8.07,
NGC 3998,NGC3998,galaxy,Galaxy,11:57:56,+55:27:12,11.3,2.78,
NGC 4013,NGC4013,galaxy,Galaxy,11:58:31,+43:56:47,11.3,4.89,
NGC 4024,NGC4024,galaxy,Galaxy,11:58:31,-18:20:48,11.8,1.75,
IC 0750,IC0750,galaxy,Galaxy,11:58:52,+42:43:20,11.8,2.11,
NGC 4026,NGC4026,galaxy,Galaxy,11:59:25,+50:57:42,10.8,4.41,
NGC 4027,NGC4027,galaxy,Galaxy,11:59:30,-19:15:54,11.2,3.54,
NGC 4030,NGC4030,galaxy,Galaxy,12:00:23,-01:06:00,10.5,3.78,
NGC 4033,NGC4033,galaxy,Galaxy,12:00:34,-17:50:33,11.8,2.59,
NGC 4036,NGC4036,galaxy,Galaxy,12:01:26,+61:53:44,10.8,4.85,
NGC 4038,NGC4038,galaxy,Galaxy,12:01:53,-18:52:03,10.2,5.42,Antennae Galaxies
NGC 4039,NGC4039,galaxy,Galaxy,12:01:53,-18:53:10,11.0,5.36,Antennae Galaxies
NGC 4041,NGC4041,galaxy,Galaxy,12:02:12,+62:08:14,11.1,2.57,
NGC 4045,NGC4045,galaxy,Galaxy,12:02:42,+01:58:36,11.8,2.55,
NGC 4050,NGC4050,galaxy,Galaxy,12:02:53,-16:22:25,11.8,3.43,
NGC 4051,NGC4051,galaxy,Galaxy,12:03:09,+44:31:52,11.4,4.89,
