name,catalog_id,class,type,ra,dec,mag,size_arcmin,common_names
NGC 6166,NGC6166,galaxy,Galaxy,16:28:38,+39:33:05,11.9,2.14,
IC 4605,IC4605,nebula,Nebula,16:30:12,-25:06:54,4.7,30.00,
NGC 6181,NGC6181,galaxy,Galaxy,16:32:20,+19:49:35,11.8,2.39,
M 107,NGC6171,cluster,Globular Cluster,16:32:31,-13:03:13,8.8,7.80,
M 13,NGC6205,cluster,Globular Cluster,16:41:41,+36:27:40,5.8,16.50,Hercules Globular Cluster
NGC 6207,NGC6207,galaxy,Galaxy,16:43:03,+36:49:56,11.6,3.46,
NGC 6210,NGC6210,nebula,Planetary Nebula,16:44:29,+23:47:59,9.7,0.50,
NGC 6229,NGC6229,cluster,Globular Cluster,16:46:58,+47:31:40,9.9,4.80,
M 12,NGC6218,cluster,Globular Cluster,16:47:14,-01:56:52,6.1,11.10,
NGC 6235,NGC6235,cluster,Globular Cluster,16:53:25,-22:10:38,7.2,4.20,
M 10,NGC6254,cluster,Globular Cluster,16:57:08,-04:05:57,5.0,9.30,
M 62,NGC6266,cluster,Globular Cluster,17:01:12,-30:06:44,7.4,7.80,
IC 4634,IC4634,nebula,Planetary Nebula,17:01:33,-21:49:33,10.9,0.14,
M 19,NGC6273,cluster,Globular Cluster,17:02:37,-26:16:04,5.6,7.50,
NGC 6284,NGC6284,cluster,Globular Cluster,17:04:28,-24:45:51,7.4,6.60,
NGC 6287,NGC6287,cluster,Globular Cluster,17:05:09,-22:42:28,10.3,5.40,
NGC 6293,NGC6293,cluster,Globular Cluster,17:10:10,-26:34:54,9.0,4.50,
NGC 6340,NGC6340,galaxy,Galaxy,17:10:24,+72:18:16,11.1,3.04,
NGC 6309,NGC6309,nebula,Planetary Nebula,17:14:04,-12:54:38,11.5,0.26,Box Nebula
NGC 6304,NGC6304,cluster,Globular Cluster,17:14:32,-29:27:44,9.0,3.60,
NGC 6316,NGC6316,cluster,Globular Cluster,17:16:37,-28:08:24,9.0,4.80,
M 92,NGC6341,cluster,Globular Cluster,17:17:07,+43:08:11,6.5,14.40,
NGC 6325,NGC6325,cluster,Globular Cluster,17:17:59,-23:45:57,11.5,4.02,
M 9,NGC6333,cluster,Globular Cluster,17:19:11,-18:30:58,8.4,6.90,
NGC 6342,NGC6342,cluster,Globular Cluster,17:21:10,-19:35:14,10.0,6.60,
NGC 6356,NGC6356,cluster,Globular Cluster,17:23:34,-17:48:46,7.4,5.40,
NGC 6355,NGC6355,cluster,Globular Cluster,17:23:58,-26:21:12,11.1,2.70,
NGC 6369,NGC6369,nebula,Planetary Nebula,17:29:20,-23:45:34,11.4,0.63,Little Ghost Nebula
NGC 6412,NGC6412,galaxy,Galaxy,17:29:37,+75:42:15,11.8,2.13,
NGC 6384,NGC6384,galaxy,Galaxy,17:32:24,+07:03:37,10.6,2.45,
NGC 6374,NGC6374,cluster,Open Cluster,17:34:42,-32:34:52,5.5,6.90,
NGC 6411,NGC6411,galaxy,Galaxy,17:35:32,+60:48:48,11.9,1.76,
M 14,NGC6402,cluster,Globular Cluster,17:37:36,-03:14:45,5.7,9.9,
NGC 6401,NGC6401,cluster,Globular Cluster,17:38:36,-23:54:31,10.7,4.50,
NGC 6404,NGC6404,cluster,Open Cluster,17:39:37,-33:14:48,10.6,4.20,
M 6,NGC6405,cluster,Open Cluster,17:40:20,-32:15:15,4.2,15.60,Butterfly Cluster
IC 4665,IC4665,cluster,Open Cluster,17:46:27,+05:38:55,4.2,24.60,
NGC 6425,NGC6425,cluster,Open Cluster,17:47:01,-31:31:45,7.2,4.80,
NGC 6440,NGC6440,cluster,Globular Cluster,17:48:52,-20:21:34,10.1,5.10,
NGC 6445,NGC6445,nebula,Planetary Nebula,17:49:15,-20:00:34,11.2,0.55,Little Gem
NGC 6503,NGC6503,galaxy,Galaxy,17:49:26,+70:08:39,10.1,5.94,
NGC 6451,NGC6451,cluster,Open Cluster,17:50:40,-30:12:41,8.2,7.20,
NGC 6453,NGC6453,cluster,Globular Cluster,17:50:51,-34:35:59,10.5,5.40,
NGC 6482,NGC6482,galaxy,Galaxy,17:51:48,+23:04:19,11.3,2.03,
NGC 6487,NGC6487,galaxy,Galaxy,17:52:41,+29:50:19,12.0,1.80,
NGC 6469,NGC6469,cluster,Open Cluster,17:53:12,-22:16:30,8.2,9.00,
M 7,NGC6475,cluster,Open Cluster,17:53:51,-34:47:34,3.3,22.20,Ptolemy's Cluster
M 23,NGC6494,cluster,Open Cluster,17:57:04,-18:59:07,5.5,16.80,
NGC 6543,NGC6543,nebula,Planetary Nebula,17:58:33,+66:37:59,9.0,0.90,Cat's Eye Nebula
NGC 6507,NGC6507,cluster,Open Cluster,17:59:50,-17:27:01,9.6,4.80,
NGC 6517,NGC6517,cluster,Globular Cluster,18:01:50,-08:57:34,11.1,4.80,
M 20,NGC6514,nebula,Nebula,18:02:42,-22:58:18,8.5,28.00,Trifid Nebula
NGC 6520,NGC6520,cluster,Open Cluster,18:03:24,-27:53:10,7.6,5.40,
NGC 6522,NGC6522,cluster,Globular Cluster,18:03:34,-30:02:02,9.5,3.90,
M 8,NGC6523,nebula,Nebula,18:03:41,-24:22:48,5.8,45.00,Lagoon Nebula
NGC 6535,NGC6535,cluster,Globular Cluster,18:03:50,-00:17:48,9.8,3.60,
M 21,NGC6531,cluster,Open Cluster,18:04:13,-22:29:24,5.9,6.00,
NGC 6530,NGC6530,nebula,Cluster + Nebula,18:04:31,-24:21:29,4.6,6.00,
NGC 6528,NGC6528,cluster,Globular Cluster,18:04:49,-30:03:20,10.7,3.60,
NGC 6537,NGC6537,nebula,Planetary Nebula,18:05:13,-19:50:34,11.6,0.17,Red Spider Nebula
NGC 6548,NGC6548,galaxy,Galaxy,18:05:59,+18:35:14,11.7,2.65,
IC 4678,IC4678,nebula,Nebula,18:06:33,-23:57:16,10.4,,
NGC 6544,NGC6544,cluster,Globular Cluster,18:07:20,-24:59:54,9.9,6.00,
NGC 6546,NGC6546,cluster,Open Cluster,18:07:22,-23:17:46,8.0,6.90,
NGC 6553,NGC6553,cluster,Globular Cluster,18:09:17,-25:54:28,9.1,5.40,
NGC 6558,NGC6558,cluster,Globular Cluster,18:10:18,-31:45:48,11.3,5.40,
NGC 6574,NGC6574,galaxy,Galaxy,18:11:51,+14:58:54,12.0,1.57,
NGC 6565,NGC6565,nebula,Planetary Nebula,18:11:52,-28:10:42,11.6,0.23,
NGC 6563,NGC6563,nebula,Planetary Nebula,18:12:02,-33:52:06,11.0,0.79,
NGC 6572,NGC6572,nebula,Planetary Nebula,18:12:06,+06:51:13,8.1,0.18,
NGC 6568,NGC6568,cluster,Open Cluster,18:12:44,-21:37:40,8.6,7.80,
NGC 6569,NGC6569,cluster,Globular Cluster,18:13:38,-31:49:39,9.5,4.50,
NGC 6567,NGC6567,nebula,Planetary Nebula,18:13:45,-19:04:33,11.0,0.13,
NGC 6583,NGC6583,cluster,Open Cluster,18:15:48,-22:08:15,10.0,3.60,
NGC 6605,NGC6605,cluster,Open Cluster,18:16:21,-15:00:54,6.0,6.30,
NGC 6589,NGC6589,nebula,Nebula,18:16:55,-19:46:37,10.5,4.00,
NGC 6590,NGC6590,nebula,Reflection Nebula,18:17:04,-19:51:57,9.8,4.00,
IC 1284,IC1284,nebula,Nebula,18:17:39,-19:40:19,7.7,16.98,
NGC 6604,NGC6604,cluster,Open Cluster,18:18:02,-12:14:35,6.5,9.60,
NGC 6603,NGC6603,cluster,Open Cluster,18:18:26,-18:24:21,11.1,4.20,
M 16,NGC6611,nebula,Nebula,18:18:48,-13:48:26,6.0,120.00,Eagle Nebula
IC 4703,IC4703,nebula,Nebula,18:18:56,-13:50:43,6.0,5.05,"Eagle Nebula,Star Queen"
NGC 6643,NGC6643,galaxy,Galaxy,18:19:46,+74:34:06,11.1,3.32,
M 18,NGC6613,cluster,Open Cluster,18:19:58,-17:06:07,6.9,6.00,
M 17,NGC6618,nebula,Nebula,18:20:47,-16:10:17,7.0,12.60,"Checkmark Nebula,Lobster Nebula,Swan Nebula,omega Nebula"
NGC 6625,NGC6625,cluster,Open Cluster,18:22:47,-11:57:18,9.0,6.00,
NGC 6654,NGC6654,galaxy,Galaxy,18:24:07,+73:10:59,11.8,2.91,
M 28,NGC6626,cluster,Globular Cluster,18:24:32,-24:52:11,6.9,5.10,
NGC 6629,NGC6629,nebula,Planetary Nebula,18:25:42,-23:12:10,11.3,0.26,
NGC 6631,NGC6631,cluster,Open Cluster,18:27:11,-12:01:52,11.7,5.70,
NGC 6633,NGC6633,cluster,Open Cluster,18:27:15,+06:30:29,4.6,12.00,
NGC 6638,NGC6638,cluster,Globular Cluster,18:30:56,-25:29:47,9.7,4.20,
M 69,NGC6637,cluster,Globular Cluster,18:31:23,-32:20:52,8.3,5.70,
IC 1287,IC1287,nebula,Reflection Nebula,18:31:25,-10:47:44,6.1,20.00,
M 25,IC4725,cluster,Open Cluster,18:31:46,-19:06:53,4.6,14.10,
NGC 6642,NGC6642,cluster,Globular Cluster,18:31:54,-23:28:34,10.2,3.90,
NGC 6644,NGC6644,nebula,Planetary Nebula,18:32:34,-25:07:45,10.7,0.04,
NGC 6645,NGC6645,cluster,Open Cluster,18:32:37,-16:53:02,8.5,5.40,
NGC 6647,NGC6647,cluster,Open Cluster,18:32:49,-17:13:43,8.0,3.60,
NGC 6649,NGC6649,cluster,Open Cluster,18:33:27,-10:24:10,8.9,5.58,
NGC 6658,NGC6658,galaxy,Galaxy,18:33:55,+22:53:17,11.8,1.50,
NGC 6652,NGC6652,cluster,Globular Cluster,18:35:45,-32:59:25,9.8,5.10,
M 22,NGC6656,cluster,Globular Cluster,18:36:24,-23:54:12,6.2,12.60,
NGC 6664,NGC6664,cluster,Open Cluster,18:36:33,-08:13:14,7.8,6.00,
IC 4756,IC4756,cluster,Open Cluster,18:38:51,+05:27:43,4.6,24.00,
NGC 6683,NGC6683,cluster,Open Cluster,18:42:13,-06:12:44,9.4,3.00,
M 70,NGC6681,cluster,Globular Cluster,18:43:12,-32:17:30,9.1,6.60,
M 26,NGC6694,cluster,Open Cluster,18:45:18,-09:23:01,8.9,6.00,
IC 4776,IC4776,nebula,Planetary Nebula,18:45:50,-33:20:35,10.8,0.12,
NGC 6703,NGC6703,galaxy,Galaxy,18:47:18,+45:33:02,11.4,2.43,
NGC 6704,NGC6704,cluster,Open Cluster,18:50:45,-05:12:19,9.2,3.30,
M 11,NGC6705,cluster,Open Cluster,18:51:05,-06:16:12,5.8,9.00,"Amas de l'Ecu de Sobieski,Wild Duck Cluster"
NGC 6709,NGC6709,cluster,Open Cluster,18:51:18,+10:19:07,6.7,8.70,
NGC 6712,NGC6712,cluster,Globular Cluster,18:53:04,-08:42:19,8.7,5.70,
M 57,NGC6720,nebula,Planetary Nebula,18:53:35,+33:01:42,8.8,1.27,Ring Nebula
NGC 6716,NGC6716,cluster,Open Cluster,18:54:34,-19:54:03,7.5,7.20,
M 54,NGC6715,cluster,Globular Cluster,18:55:03,-30:28:42,7.7,5.10,
NGC 6717,NGC6717,cluster,Globular Cluster,18:55:06,-22:42:05,10.3,3.90,
NGC 6743,NGC6743,cluster,Open Cluster,19:01:20,+29:16:38,8.2,6.90,
IC 4816,IC4816,nebula,Nova,19:01:50,-13:09:42,4.5,,
NGC 6741,NGC6741,nebula,Planetary Nebula,19:02:37,-00:26:57,11.5,0.13,Phantom Streak Nebula
NGC 6751,NGC6751,nebula,Planetary Nebula,19:05:55,-05:59:32,11.9,0.34,
NGC 6755,NGC6755,cluster,Open Cluster,19:07:49,+04:15:59,7.5,6.00,
NGC 6756,NGC6756,cluster,Open Cluster,19:08:42,+04:42:20,10.6,3.60,
NGC 6760,NGC6760,cluster,Globular Cluster,19:11:12,+01:01:49,9.8,5.40,
IC 4846,IC4846,nebula,Planetary Nebula,19:16:28,-09:02:37,11.9,0.03,
M 56,NGC6779,cluster,Globular Cluster,19:16:35,+30:11:04,8.4,5.80,
NGC 6781,NGC6781,nebula,Planetary Nebula,19:18:28,+06:32:23,11.4,1.80,
NGC 6791,NGC6791,cluster,Open Cluster,19:20:53,+37:46:18,9.5,6.30,
NGC 6790,NGC6790,nebula,Planetary Nebula,19:22:56,+01:30:48,10.5,0.12,
NGC 6802,NGC6802,cluster,Open Cluster,19:30:35,+20:15:39,8.8,4.50,
NGC 6803,NGC6803,nebula,Planetary Nebula,19:31:16,+10:03:21,11.4,0.09,
NGC 6804,NGC6804,nebula,Planetary Nebula,19:31:35,+09:13:30,12.0,0.58,
NGC 6807,NGC6807,nebula,Planetary Nebula,19:34:33,+05:41:03,12.0,0.03,
NGC 6811,NGC6811,cluster,Open Cluster,19:37:17,+46:23:19,6.8,7.20,
M 55,NGC6809,cluster,Globular Cluster,19:39:59,-30:57:43,6.5,12.00,
NGC 6819,NGC6819,cluster,Open Cluster,19:41:18,+40:11:12,7.3,6.90,Foxhead Cluster
NGC 6814,NGC6814,galaxy,Galaxy,19:42:40,-10:19:24,11.3,3.08,
NGC 6823,NGC6823,nebula,Cluster + Nebula,19:43:09,+23:17:59,7.1,6.00,
NGC 6824,NGC6824,galaxy,Galaxy,19:43:40,+56:06:34,11.8,1.91,
NGC 6818,NGC6818,nebula,Planetary Nebula,19:43:57,-14:09:11,9.3,0.77,Little Gem Nebula
NGC 6826,NGC6826,nebula,Planetary Nebula,19:44:48,+50:31:30,9.4,0.42,Blinking Planetary
NGC 6822,NGC6822,galaxy,Galaxy,19:44:57,-14:48:12,10.1,17.38,Barnard's Galaxy
NGC 6830,NGC6830,cluster,Open Cluster,19:50:59,+23:06:00,7.9,4.20,
NGC 6834,NGC6834,cluster,Open Cluster,19:52:12,+29:24:29,7.8,4.50,
M 71,NGC6838,cluster,Globular Cluster,19:53:46,+18:46:42,6.1,6.90,
M 27,NGC6853,nebula,Planetary Nebula,19:59:36,+22:43:15,7.4,6.70,Dumbbell Nebula
NGC 6857,NGC6857,nebula,HII Region,20:01:48,+33:31:33,11.4,0.63,
NGC 6866,NGC6866,cluster,Open Cluster,20:03:55,+44:09:32,7.6,5.10,
NGC 6871,NGC6871,cluster,Open Cluster,20:05:59,+35:46:38,5.2,9.30,
M 75,NGC6864,cluster,Globular Cluster,20:06:04,-21:55:20,8.3,3.60,
NGC 6884,NGC6884,nebula,Planetary Nebula,20:10:23,+46:27:39,10.9,0.10,
NGC 6883,NGC6883,cluster,Open Cluster,20:11:19,+35:49:55,8.0,4.50,
NGC 6888,NGC6888,nebula,HII Region,20:12:06,+38:21:17,7.4,20.00,Crescent Nebula
NGC 6886,NGC6886,nebula,Planetary Nebula,20:12:42,+19:59:23,11.4,0.09,
NGC 6891,NGC6891,nebula,Planetary Nebula,20:15:08,+12:42:15,10.5,0.25,
IC 4996,IC4996,cluster,Open Cluster,20:16:33,+37:33:19,7.3,6.00,
IC 4997,IC4997,nebula,Planetary Nebula,20:20:08,+16:43:54,10.5,0.03,
NGC 6905,NGC6905,nebula,Planetary Nebula,20:22:22,+20:06:16,11.1,0.67,Blue Flash Nebula
NGC 6910,NGC6910,cluster,Open Cluster,20:23:12,+40:46:43,7.4,6.30,
M 29,NGC6913,cluster,Open Cluster,20:23:57,+38:30:27,6.6,3.60,
NGC 6907,NGC6907,galaxy,Galaxy,20:25:06,-24:48:33,11.2,3.33,
NGC 6939,NGC6939,cluster,Open Cluster,20:31:30,+60:39:43,7.8,12.00,
NGC 6934,NGC6934,cluster,Globular Cluster,20:34:11,+07:24:14,9.8,5.40,
NGC 6925,NGC6925,galaxy,Galaxy,20:34:20,-31:58:51,11.3,4.68,
NGC 6940,NGC6940,cluster,Open Cluster,20:34:26,+28:16:57,6.3,10.80,
NGC 6946,NGC6946,galaxy,Galaxy,20:34:52,+60:09:14,9.1,11.40,Fireworks Galaxy
NGC 6960,NGC6960,nebula,Supernova Remnant,20:45:58,+30:35:42,7.0,210.00,"Veil Nebula,Filamentary Nebula,Western Veil"
NGC 6962,NGC6962,galaxy,Galaxy,20:47:19,+00:19:14,11.9,2.70,
IC 5070,IC5070,nebula,HII Region,20:51:00,+44:24:05,8.0,60.00,Pelican Nebula
M 72,NGC6981,cluster,Globular Cluster,20:53:27,-12:32:13,9.0,4.50,
NGC 6992,NGC6992,nebula,Supernova Remnant,20:56:19,+31:44:33,7.0,60.00,"Eastern Veil,Network Nebula"
NGC 6997,NGC6997,nebula,Cluster + Nebula,20:56:39,+44:37:53,10.0,6.90,
NGC 6995,NGC6995,nebula,Supernova Remnant,20:57:10,+31:14:06,7.0,12.00,"Eastern Veil,Network Nebula"
NGC 7000,NGC7000,nebula,HII Region,20:59:17,+44:31:43,4.0,120.00,North America Nebula
NGC 7008,NGC7008,nebula,Planetary Nebula,21:00:32,+54:32:35,10.7,1.43,
NGC 7006,NGC7006,cluster,Globular Cluster,21:01:29,+16:11:15,10.5,4.20,
NGC 7023,NGC7023,nebula,Nebula,21:01:35,+68:10:10,7.2,10.00,Iris Nebula
NGC 7013,NGC7013,galaxy,Galaxy,21:03:33,+29:53:50,11.3,4.16,
NGC 7009,NGC7009,nebula,Planetary Nebula,21:04:10,-11:21:47,8.0,0.70,Saturn Nebula
NGC 7026,NGC7026,nebula,Planetary Nebula,21:06:18,+47:51:07,10.9,0.33,
NGC 7027,NGC7027,nebula,Planetary Nebula,21:07:01,+42:14:11,8.5,0.23,
NGC 7031,NGC7031,cluster,Open Cluster,21:07:12,+50:52:32,9.1,3.90,
NGC 7039,NGC7039,cluster,Open Cluster,21:10:47,+45:37:18,7.6,7.80,
NGC 7044,NGC7044,cluster,Open Cluster,21:13:09,+42:29:46,12.0,6.00,
NGC 7062,NGC7062,cluster,Open Cluster,21:23:27,+46:22:42,8.3,3.60,
NGC 7063,NGC7063,cluster,Open Cluster,21:24:21,+36:29:15,7.0,6.30,
NGC 7067,NGC7067,cluster,Open Cluster,21:24:23,+48:00:33,9.7,2.40,
NGC 7082,NGC7082,cluster,Open Cluster,21:29:17,+47:07:34,7.2,9.00,
M 15,NGC7078,cluster,Globular Cluster,21:29:58,+12:10:00,6.3,11.10,
NGC 7086,NGC7086,cluster,Open Cluster,21:30:27,+51:36:01,8.4,4.80,
M 39,NGC7092,cluster,Open Cluster,21:31:48,+48:26:17,4.6,19.50,
IC 5117,IC5117,nebula,Planetary Nebula,21:32:30,+44:35:47,11.5,0.02,
M 2,NGC7089,cluster,Globular Cluster,21:33:27,-00:49:23,6.2,8.40,
M 30,NGC7099,cluster,Globular Cluster,21:40:22,-23:10:44,7.1,9.00,
NGC 7129,NGC7129,nebula,Cluster + Nebula,21:42:59,+66:06:46,11.5,2.10,
NGC 7128,NGC7128,cluster,Open Cluster,21:43:57,+53:42:54,9.7,3.00,
NGC 7142,NGC7142,cluster,Open Cluster,21:45:09,+65:46:28,9.3,9.60,
IC 5146,IC5146,nebula,Cluster + Nebula,21:53:28,+47:16:00,7.2,10.00,Cocoon Nebula
NGC 7160,NGC7160,cluster,Open Cluster,21:53:40,+62:36:11,6.1,4.20,
NGC 7177,NGC7177,galaxy,Galaxy,22:00:41,+17:44:17,11.1,2.85,
NGC 7173,NGC7173,galaxy,Galaxy,22:02:03,-31:58:25,12.0,1.88,
NGC 7184,NGC7184,galaxy,Galaxy,22:02:39,-20:48:46,11.0,5.98,
NGC 7209,NGC7209,cluster,Open Cluster,22:05:07,+46:29:00,7.7,6.00,
NGC 7217,NGC7217,galaxy,Galaxy,22:07:52,+31:21:33,10.5,4.52,
NGC 7218,NGC7218,galaxy,Galaxy,22:10:11,-16:39:39,11.9,2.55,
NGC 7226,NGC7226,cluster,Open Cluster,22:10:26,+55:23:54,9.6,3.00,
NGC 7234,NGC7234,cluster,Open Cluster,22:12:25,+57:16:16,7.7,2.40,
NGC 7243,NGC7243,cluster,Open Cluster,22:15:08,+49:53:51,6.4,15.00,
NGC 7245,NGC7245,cluster,Open Cluster,22:15:11,+54:20:33,9.2,3.90,
IC 1442,IC1442,cluster,Open Cluster,22:16:01,+53:59:28,9.1,4.20,
NGC 7261,NGC7261,cluster,Open Cluster,22:20:06,+58:03:06,8.4,6.90,
IC 5217,IC5217,nebula,Planetary Nebula,22:23:55,+50:58:00,11.3,0.11,
NGC 7295,NGC7295,cluster,Open Cluster,22:28:02,+52:17:20,9.7,2.70,
NGC 7293,NGC7293,nebula,Planetary Nebula,22:29:38,-20:50:14,7.3,16.33,Helix Nebula
NGC 7314,NGC7314,galaxy,Galaxy,22:35:46,-26:03:01,11.2,4.21,
NGC 7331,NGC7331,galaxy,Galaxy,22:37:04,+34:24:55,9.4,9.27,
NGC 7332,NGC7332,galaxy,Galaxy,22:37:24,+23:47:54,11.1,2.95,
NGC 7380,NGC7380,nebula,Cluster + Nebula,22:47:21,+58:07:56,7.2,25.00,
NGC 7377,NGC7377,galaxy,Galaxy,22:47:47,-22:18:43,11.2,3.92,
NGC 7392,NGC7392,galaxy,Galaxy,22:51:48,-20:36:29,11.8,2.24,
IC 5271,IC5271,galaxy,Galaxy,22:58:01,-33:44:32,11.5,3.00,
NGC 7448,NGC7448,galaxy,Galaxy,23:00:03,+15:58:49,11.7,2.07,
NGC 7457,NGC7457,galaxy,Galaxy,23:00:59,+30:08:41,11.0,3.95,
NGC 7454,NGC7454,galaxy,Galaxy,23:01:06,+16:23:18,11.9,1.54,
NGC 7479,NGC7479,galaxy,Galaxy,23:04:56,+12:19:22,11.1,3.65,
IC 1470,IC1470,nebula,HII Region,23:05:10,+60:14:38,11.5,1.80,
NGC 7492,NGC7492,cluster,Globular Cluster,23:08:26,-15:36:41,10.5,3.00,
NGC 7510,NGC7510,cluster,Open Cluster,23:11:03,+60:34:15,7.9,3.90,
NGC 7507,NGC7507,galaxy,Galaxy,23:12:07,-28:32:22,10.0,3.33,
NGC 7513,NGC7513,galaxy,Galaxy,23:13:14,-28:21:27,11.8,3.19,
NGC 7541,NGC7541,galaxy,Galaxy,23:14:43,+04:32:03,11.8,3.03,
NGC 7562,NGC7562,galaxy,Galaxy,23:15:57,+06:41:15,11.6,2.18,
NGC 7585,NGC7585,galaxy,Galaxy,23:18:01,-04:39:01,11.5,2.55,
NGC 7600,NGC7600,galaxy,Galaxy,23:18:53,-07:34:49,11.9,2.09,
NGC 7606,NGC7606,galaxy,Galaxy,23:19:04,-08:29:06,11.0,5.26,
NGC 7619,NGC7619,galaxy,Galaxy,23:20:14,+08:12:22,11.1,2.53,
NGC 7626,NGC7626,galaxy,Galaxy,23:20:42,+08:13:01,11.1,2.50,
NGC 7635,NGC7635,nebula,HII Region,23:20:45,+61:12:44,11.0,15.00,Bubble Nebula
NGC 7640,NGC7640,galaxy,Galaxy,23:22:06,+40:50:43,11.0,8.09,
M 52,NGC7654,cluster,Open Cluster,23:24:48,+61:35:35,6.9,9.90,
NGC 7662,NGC7662,nebula,Planetary Nebula,23:25:53,+42:32:05,8.3,0.28,Copeland's Blue Snowball
NGC 7686,NGC7686,cluster,Open Cluster,23:30:07,+49:08:02,5.6,3.60,
NGC 7721,NGC7721,galaxy,Galaxy,23:38:48,-06:31:04,11.7,3.08,
NGC 7723,NGC7723,galaxy,Galaxy,23:38:57,-12:57:39,11.2,3.29,
NGC 7727,NGC7727,galaxy,Galaxy,23:39:53,-12:17:34,10.6,3.61,
NGC 7741,NGC7741,galaxy,Galaxy,23:43:54,+26:04:32,11.3,3.63,
NGC 7742,NGC7742,galaxy,Galaxy,23:44:15,+10:46:01,11.6,1.71,
NGC 7755,NGC7755,galaxy,Galaxy,23:47:51,-30:31:19,11.7,3.70,
NGC 7769,NGC7769,galaxy,Galaxy,23:51:03,+20:09:01,11.8,1.75,
NGC 7785,NGC7785,galaxy,Galaxy,23:55:19,+05:54:57,11.6,1.95,
NGC 7788,NGC7788,cluster,Open Cluster,23:56:45,+61:23:59,9.4,2.40,
NGC 7789,NGC7789,cluster,Open Cluster,23:57:24,+56:42:29,6.7,14.40,
NGC 7793,NGC7793,galaxy,Galaxy,23:57:49,-32:35:27,9.3,10.42,
NGC 7790,NGC7790,cluster,Open Cluster,23:58:24,+61:12:29,8.5,3.60,
